annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Skin.leukocyte,2.06064384345731e-4,1.3064239161675317e-4,2.2116935585451123,2.73215247820537,0.9508148312960013,2,-29334.937696495963,58675.875392991926,58698.35246226033,64842.89578943819,13256,-0.28632893378292074,0.17322587730135514,0.09837033740799743,FALSE
Marrow.granulocyte,2.1348857629212498e-4,1.3806714362585293e-4,2.211685346818974,2.830608869986102,0.9537465791894829,2,-29334.888471201248,58675.776942402495,58698.2540116709,64842.4142841124,13256,-0.18757144738623763,0.11148765943873025,0.09250684162103409,FALSE
Spleen.T cell,2.1874317127147734e-4,1.4332213499890223e-4,2.211679534815183,2.900293897859541,0.955706577078867,2,-29334.853630961596,58675.70726192319,58698.184331191595,64842.07349073236,13256,-0.2318627265048853,0.13614758245386707,0.08858684584226607,FALSE
Skin.epidermal cell,0.00023083491033911598,1.5541478623759541e-4,2.2116661603232557,3.060654077264826,0.9598837421702102,2,-29334.773456801042,58675.546913602084,58698.02398287049,64841.28926575524,13256,-0.17784006329871588,0.10165353377940378,0.08023251565957946,FALSE
Heart.cardiac muscle cell,2.351331395518274e-4,1.5971333969810875e-4,2.211661406096656,3.11765796260382,0.9612644795920433,2,-29334.74495719964,58675.48991439928,58697.966983667684,64841.010498682364,13256,-0.19972455435515232,0.11311422576285438,0.07747104081591341,FALSE
Marrow.B cell,2.4516481614647064e-4,1.6974577305772787e-4,2.211650310123816,3.250701760537084,0.9642922069783575,2,-29334.67844124175,58675.3568824835,58697.833951751905,64840.35988165334,13256,-0.3304846807184927,0.18330012865110687,0.07141558604328511,FALSE
Marrow.monocyte,2.462481173436764e-4,1.7082915597654846e-4,2.2116491118880117,3.2650690606169483,0.9646036464399204,2,-29334.67125827321,58675.34251654642,58697.819585814825,64840.289622788856,13256,-0.23348344676070723,0.1292141009183569,0.07079270712015935,FALSE
Mammary_Gland.endothelial cell,2.534613618561281e-4,1.7804294463841241e-4,2.211641133326008,3.360735629394298,0.9666046758717746,2,-29334.623429725147,58675.24685945029,58697.7239287187,64839.82179872475,13256,-0.27452521150844583,0.14974938921210798,0.06679064825645091,FALSE
Trachea.epithelial cell,2.6505221985817e-4,1.8963467702626247e-4,2.2116283126301424,3.5144637428565564,0.9695713437315624,2,-29334.54657400209,58675.09314800418,58697.57021727259,64839.070059020436,13256,-0.20478986655450326,0.10923930524161937,0.060857312536875145,FALSE
Marrow.mature natural killer cell,2.796737360140719e-4,2.042572961933331e-4,2.2116121396047754,3.708392184499381,0.9729195590390454,2,-29334.449621565236,58674.89924313047,58697.376312398876,64838.12176216184,13256,-0.33608386655410544,0.17452387068430267,0.054160881921909224,FALSE
Limb_Muscle.endothelial cell,2.9487002322764385e-4,2.1945472977735747e-4,2.2115953306932665,3.9099499549396795,0.9759891452647542,2,-29334.348856430297,58674.697712860594,58697.174782129,64837.136187801894,13256,-0.23990981622427593,0.12132838554459727,0.04802170947049148,FALSE
